Title,Image URL,Description
El silencio de los corderos,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/74/29/15/19757760.jpg,"Esta película de suspense nos lleva a vivir una terrorífica historia que comienza con una serie de asesinatos de unas adolescentes en Alabama. Clarisse (Jodie Foster), una joven policía con un currículum intachable, sigue la pista del criminal para poder localizarle. Para ello pide ayuda a Hannibal Lecter (Anthony Hopkins), un sádico psiquiatra que se encuentra encarcelado en una prisión de gran seguridad."
Ciudad de Dios,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/68/09/00/20071863.jpg,"En una favela de Río de Janeiro, en los años sesenta, “Buscapé” es un niño negro, pobre, demasiado frágil para ser un delincuente, pero demasiado listo para contentarse con un trabajo mal pagado. Ha crecido en un entorno violento, pero intenta ver la realidad de otro modo, con los ojos de un artista. Sueña con convertirse en fotógrafo profesional.“Dadinho”, un niño de once años, se acaba de mudar a la Ciudad. Él, en cambio, desea convertirse en el mayor criminal de Río y comienza su aprendizaje haciendo pequeños trabajos para la mafia local. Admira a “Cabeleira” y a su banda, que asaltan los camiones y roban todo lo que pillan. “Cabeleira” le ofrece a “Dadinho” la ocasión de cometer un asesinato, que será el primero de una larga lista…"
Chacal,https://es.web.img3.acsta.net/c_310_420/pictures/14/05/06/10/56/094494.jpg,"Chacal es una francotirador de élite que se ha mantenido sin nombre e invisible para todos. Cuando el hermano del mafioso ruso, Murad Terek es asesinado por el FBI y la milicia rusa, encargarán a Chacal la muerte de los líderes de ambas organizaciones. Aterrorizado de esta amenaza, el FBI se ve obligado a liberar a un francotirador, considerado como el único que puede acabar con Chacal."
Rosario Tijeras,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/91/85/16/20166279.jpg,"Emilio es un hombre que nunca se implica con ninguna mujer, solo se limita a tener relaciones sexuales y Antonio es todo lo contrario, mucho más sensato y respetuoso. La vida de ambos cambia cuando conocen a Rosario una mujer que centra su vida en vengar la muerte de su hermano Jonhefe y en escapar de sus peligrosos enemigos del pasado."
Juego de ladrones,https://es.web.img3.acsta.net/c_310_420/pictures/18/02/20/10/02/4203841.jpg,"Un grupo de ladrones de bancos de élite con formación militar planean un atraco en el Banco de la Reserva Federal de Los Ángeles. Se trata de su mayor robo hasta el momento y consiste en robar los 120 millones de dólares en efectivo que todos los días se sacan de la circulación. Los sigue de cerca Nick Flanagan (Gerard Butler), sheriff local de Los Ángeles, que ha estado siguiendo al equipo de ladrones y no se detendrá ante nada hasta verlos detenidos. Thriller de acción que supone el debut en la dirección de Christian Gudegast, guionista de Objetivo: Londres (2016). Gudegast escribe el guión junto a Paul Scheuring (Prisión Break). Sus actores protagonistas son Gerard Butler (Geostorm, Dioses de Egipto), Pablo Schreiber (American Gods, Orange Is the New Black), O'Shea Jackson Jr. (Ingrid Goes West, Straight Outta Compton), Sonya Balmores (Ballers, Beyond the Break), Evan Jones (Guardianes de la galaxia Vol. 2, Deuda de honor), Meadow Williams (Camino hacia el éxito, The Harvest) y el rapero 50 cent (Redención, Caza al asesino)."
Venganza,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/66/89/00/20198925.jpg,"La trama tiene como personaje principal a Bryan Mills, un individuo que ha estado dedicado a lo largo de muchos años a las fuerzas de seguridad de su país para investigar y resolver todos aquellos casos que requirieran a un auténtico especialista en este tipo de situaciones. Desde que se vio en la necesidad de abandonar su importante trabajo, con motivo de que ya no se encontraba en plenas condiciones para llevarlo a cabo, se ha dado cuenta de que su vida en el fondo carece del sentido que anteriormente completaban su profesión y su buena relación con sus compañeros. Sin embargo, todo cambiará por completo cuando se ve en la obligación de solucionar el que sin duda va a ser el quebradero de cabeza más preocupante que ha debido afrontar en toda su existencia. Se trata del secuestro de Kim, su hija, a quien un peligroso grupo procedente del este de Europa ha apresado con el objetivo de sobornar y manipular a sus seres queridos. La tensión irá aumentando con el desarrollo de la trama, mientras que el protagonista experimentará el terror en su propia piel al comprobar que los días de su primogénita pueden estar contados. ¿Será capaz de rescatarla de las garras de sus enemigos antes de que sea demasiado tarde?"
Eye for an Eye (Ojo por ojo),https://es.web.img3.acsta.net/c_310_420/pictures/14/06/27/11/14/179782.jpg,"Narra la historia de Karen, una mujer felizmente casada, madre de dos hijas, cuya vida es totalmente perfecta. Sin embargo, un día todo cambia cuando su casa es asaltada por un extraño que asesina cruelmente a una de sus hijas. A pesar de la evidencia de los hechos, es puesto en libertad, algo que no sienta nada bien a la familia y mucho menos a la propia Karen. En ese momento, la vida de Karen dará un vuelco de 180 grados y decidirá tomarse la justicia por su mano. Cueste lo que cueste. Película dirigida por John Schlesinger (Algo casi perfecto o La hija de Robert Poste), y cuyo elenco de protagonistas está compuesto por actores como Sally Field (Una rubia muy legal 2 o Cinco hermanos), Ed Harris (El show de Truman o Una mente maravillosa), Olivia Burnette (Rápida y mortal) y Alexandra Kyle (El sueño de mi vida)."
La trama (Broken city),https://es.web.img3.acsta.net/c_310_420/pictures/14/06/20/13/05/062541.jpg,"El candidato a la alcaldía Nicholas Hostetler (Russell Crowe) no confía en su esposa. La sombra de la traición lo acosa a cada instante y, dispuesto a acabar con su incertidumbre, contrata a un ex policía de notable prestigio para que investigue una posible aventura de su mujer.  El policía a quien confía el caso ha dejado de ejercer desde hace algún tiempo y ahora se gana la vida como detective privado. Pero lo que no espera el agente es tener que dedicarse a desvelar engaños conyugales... Aunque lo que sí que estaba lejos de imaginar era el giro inesperado que daría el caso en el que se involucra.  Las sospechas del alcalde se corroboran y el amante de su esposa aparece muerto. Detrás de este asesinato hay todo un macabro complot político que amenaza al candidato político y que el detective tendrá que resolver. Allen Hughes ('El libro de Eli') es el encargado de dirigir el film. Delante de las cámaras contamos con la presencia de Russell Crowe ('Robin Hood'), Mark Wahlberg ('Contraband'), Catherine Zeta-Jones ('El último gran mago') o Barry Pepper ('Valor de ley')."
Contratiempo,https://es.web.img3.acsta.net/c_310_420/pictures/16/11/18/11/16/356441.jpg,"Adrián Doria (Mario Casas) es un exitoso empresario que es acusado de un asesinato, aunque él se declara inocente. Para defenderse, contrata los servicios de la mejor preparadora de testigos del país, Virginia Goodman (Ana Wagener), con quien trabaja una noche para encontrar un argumento que logre liberarle de la cárcel. Pero la aparición de un nuevo testigo de cargo hace peligrar su estrategia, viéndose obligados a recomponer las piezas de un puzle imposible con el tiempo en su contra. Oriol Paulo (El cuerpo) escribe y dirige este thriller protagonizado por Mario Casas (Toro, Palmeras en la nieve), Ana Wagener (A escondidas, El perfecto desconocido), José Coronado (El hombre de las mil caras, Murieron por encima de sus posibilidades) y Bárbara Lennie (Las furias, Magical Girl). El reparto lo completan nombres como Francesc Orella (Truman), Paco Tous (Fuga de cerebros 2), David Selvas (Celda 211) e Iñigo Gastesi (Lasa y Zabala)."
Legend,https://es.web.img2.acsta.net/c_310_420/pictures/15/10/28/08/33/281588.jpg,"Londres, entre la década de los años 50 y los 60, Ronald y Reginald Kray (Tom Hardy) son dos gángsters gemelos completamente idénticos que hacen del crimen su oficio. Conocidos como los 'Kray twins' fueron dos de los criminales más célebres de la historia de Gran Bretaña, y su imperio del crimen organizado se dedicó al asesinato, al robo y a la extorsión en el East End de Londres. A través de sus actividades delictivas y su falta de escrúpulos, la influencia de estos dos mafiosos parecía no tener límites en la capital inglesa. Pero los dos hermanos tienen una relación problemática, porque Reggie Kray, el mayor de los dos, trata de controlar las tendencias psicopáticas de su gemelo más joven. Aún así, consiguen ascender hasta lo más alto de la mafia. Sin embargo, cuando Frances Shea (Emily Browning), la esposa de Reggie, anima a su marido a alejarse de los negocios, la caída de los hermanos Kray parece inevitable. Basada en el libro The Profession of Violence de John Pearson, Legend cuenta la historia real de los conocidos como 'Kray twins', y está dirigida por Brian Helgeland (42, Destino de caballero, Payback). El actor que encarna a los idénticos hermanos gángsters es Tom Hardy (El renacido, Mad Max: Furia en la carretera, El caballero oscuro: La leyenda renace). El reparto lo completan Emily Browning (Pompeya, Summer in February) y Paul Anderson (En el corazón del mar, Peaky Blinders)."
Pulp Fiction,https://es.web.img3.acsta.net/c_310_420/img/05/66/05663f00b8b5df58b003aaf5c46ef8ad.jpg,"Jules Winnfield (Samuel L. Jackson, Jackie Brown) y Vincent Vega (John Travolta, Grease) son dos asesinos a sueldo que trabajan a las órdenes del temido gángster Marsellus Wallace (Ving Rhames, Amanecer de los muertos), quien les encarga la importante misión de recuperar su misterioso maletín, que ha sido robado. Ahí empezarán todos sus problemas. Los dos criminales son polos opuestos que deberán trabajar juntos para cumplir su cometido. De forma paralela, Vincent tendrá que hacerse cargo de Mia Wallace (Uma Thurman, Kill Bill), la peculiar novia de su jefe, a petición del mismo, mientras él pasa unos días fuera de la ciudad. Su compañero Jules le recomienda que vaya con cautela, pues la atractiva mujer le puede meter en problemas. Mientras, el boxeador Butch Coolidge (Bruce Willis, El sexto sentido) debe perder una importante pelea, pues ha sido sobornado por Wallace para participar en este combate amañado, y la pareja formada por Pumpkin/Ringo (Tim Roth, Reservoir Dogs) y Honey Bunny/Yolanda (Amanda Plummer, Mi vida sin mí) decidirá atracar un establecimiento debido a su lamentable situación laboral."
Redención,https://es.web.img2.acsta.net/c_310_420/pictures/14/04/10/09/42/212321.jpg,"Con Jason Statham (Los mercenarios 2, Safe) a la cabeza, la historia gira en torno a un ex soldado de las fuerzas especiales que ve como su vida da un giro brusco para terminar atrapado en un peligroso laberinto criminal en el centro de Londres. Acostumbrado a situaciones imposibles, este experto en armamento y en enfrentamientos cuerpo a cuerpo, deberá pelear a fondo para salir de la situación en la que se encuentra. Rodeado y perseguido, la conflictiva zona donde se encuentra requerirá de todos sus esfuerzos para escapar de la trampa mortal donde todo el mundo parece tener motivos suficientes para querer matarlo. Recordando sus entrenamientos y sus días en el ejército, pondrá a prueba su memoría y su capacidad de supervivencia con el único arma que conocen sus nuevos enemigos: la violencia y brutalidad de las calles. No podrá confiar en nadie cuando la lucha por escapar se convierta en una venaganza y un ajuste de cuentas personal en este thriller de acción y ritmos fréneticos."
Instinto básico,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/76/35/68/20432773.jpg,"La trama se centra en Catherine Tramell (Sharon Stone), una escritora de éxito bisexual que puede llegar a ser una asesina despiadada, al menos todo apunta a ello después de que Johnny Boz, antiguo cantante de rock y propietario de un club nocturno de San Francisco, aparezca brutalmente asesinado en su cama después de pasar la noche con ella. Todo el mundo cerca de Catherine muere, y el agente de policía Nick Curran (Michael Douglas) tiene que averiguar el por qué. En el proceso, este agente mantendrá intensas relaciones pasionales con Catherine y con la psiquiatra Beth Gardner (Jeanne Tripplehorn), su pareja. Mientras, los asesinatos en circunstancias parecidas al de Boz no paran de suceder. La reciente desintoxicación de Nick de las drogas y el alcohol le harán más vulnerable a los indudables encantos de la escritora. Thriller erótico estadounidense de 1992, dirigido por Paul Verhoeven (Starship Troopers, Elle) y protagonizado por Sharon Stone (Flores rotas) y Michael Douglas (Un día de furia, Los demonios de la noche)."
Criminal,https://es.web.img3.acsta.net/c_310_420/pictures/16/03/22/10/23/369365.jpg,"Jericho Stewart (Kevin Costner) es un peligroso e impredecible criminal con un subdesarrollo cerebral que hace que sea el sujeto perfecto para convertirse en el primer humano que pruebe un nuevo tratamiento del Dr. Micah Franks (Tommy Lee Jones). Así, a Stewart le implantan las habilidades, secretos y recuerdos de un agente de la CIA muerto. Ahora tendrá que proteger estos conocimientos a toda costa mientras intenta finalizar con éxito la peligrosa misión. Criminal está dirigida por Ariel Vromen (Rx. Al límite del riesgo). Forman parte del reparto Kevin Costner (Jack Ryan: Operación sombra, El Hombre de Acero), Gary Oldman (El amanecer del planeta de los simios, Robocop), Tommy Lee Jones (Lincoln, Men In Black 3), Ryan Reynolds (The Captive, R. I. P. D. Departamento de policía mortal), Alice Eve (Star Trek: En la oscuridad, Men In Black 3), Gal Gadot (Fast & Furious 6, Batman v Superman: el Amanecer de la Justicia) y Antje Traue (El Hombre de Acero, Pandorum)."
Infiltrados,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/67/82/22/20026978.jpg,"Al sur de Boston la policía estatal lleva años luchando contra el crimen organizado. Billy Costigan (Leonardo DiCaprio, ‘Origen', ‘Atrápame si puedes’), un policía novato que ha crecido rodeado de crímenes, será el topo perfecto para infiltrarse en la mafia; no sólo ha sido entrenado para ello sino que ha permanecido en la cárcel un tiempo para aumentar su credibilidad. Su misión es ganarse la confianza del capo principal, Frank Costello (Jack Nicholson, 'Ahora o nunca', ‘Alguien voló sobre el nido del cuco’), y ayudar a la policía a desarticular el grupo mafioso.  Pero las cosas no serán tan fáciles. Colin Sullivan (Matt Damon, 'Un lugar para soñar', ‘El ultimátum de Bourne’), un policía que cuenta con un puesto importante en la Unidad Especial de Investigación, se interpondrá en su camino. Aunque parece el perfecto oficial, ha sido entrenado por Costello para infiltrarse dentro de la policía del estado de Massachusetts... Esta película dramática y de crimen norteamericana, ganadora del Oscar en la categoría de Mejor Película, ha sido dirigida por Martin Scorsese (‘Uno de los nuestros’)."
Shooter: El tirador,https://es.web.img3.acsta.net/c_310_420/medias/nmedia/18/67/82/20/20056085.jpg,"Cuando el mejor amigo y compañero de Bobby Lee Swagger muere durante un combate, este decide retirarse del ejército. Se va a vivir a Arkansas a una casa en mitad del bosque con la única compañía de su novia y su perro para que nadie le moleste. Pero un día, recibe una visita inesperada: requieren su ayuda para evitar un ataque terrorista contra el actual presidente de los Estados Unidos. Desgraciadamente el asesinato se lleva a cabo, pero el que muere no es el presidente y Swagger es acusado como el culpable del crimen. Alguien le ha tendido una trampa y le ha utilizado como cabeza de turco. Intentará averiguar quién le ha metido en esta encerrona que ha provocado que toda la policía del país esté detrás de él. La película está dirigida por Antoine Fuqua y cuenta con un reparto formado por Mark Wahlberg, Michael Peña, Danny Glover, Kate Mara, Elias Koteas, Rhona Mitra, Jonathan Walker y Louis Ferreira, entre otros."
El profesional (Léon),https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/90/11/59/20081632.jpg,"Mientras hacia la compra, Matilda ve como asesinan a su familia por culpa de los negocios de contrabando de su padre. Se queda sin familia y decide refugiarse en casa de su vecino León, un insólito hombre del que pronto descubrirá que es asesino a sueldo. Entre ambos harán un pacto: la joven aparte de ser su asistenta le enseñará a leer; a cambio, él le dará un lugar donde quedarse y a su vez la enseñará a disparar para que se pueda vengarse de aquellas personas que acabaron con la vida de su familia... Luc Besson ('3 Days to Kill', 'Brick Mansions') es el encargado de encabezar este proyecto tanto en el apartado de la dirección como del guion, llevando a cabo una historia que fue muy alabada por los fanáticos y puristas del mundo del séptimo arte. El reparto de la película está compuesto por actores de gran renombre internacional como Jean Reno ('Days and Nights', 'Avis de mistral'), Gary Oldman ('RoboCop', 'El amanecer del Planeta de los Simios') o una jovencísima Natalie Portman ('Thor: El mundo oscuro', 'Knight of Cups')."
Doble traición,https://es.web.img3.acsta.net/c_310_420/pictures/14/03/18/11/03/563928.jpg,"La apacible y tranquila vida de Libby Parsons se hace pedazos cuando su marido, Nick, es asesinado en alta mar ante sus propios ojos. Sin lograr entender lo ocurrido y con todas las pruebas apuntando a culparla del asesinato, Libby acaba siendo acusada por las autoridades y finalmente, es condenada a cadena perpetua. Pero a través de las llamadas que hace desde la prisión, descubre que su hijo ha desaparecido y que Nick, no está muerto. Seis años más tarde y tras una larga espera, la protagonista obtiene la libertad condicional. A pesar de la estricta vigilancia del agente de la condicional Travis Lehman, Libby consigue escabullirse, decidida a encontrar a su hijo y a vengarse su marido. Película Dirigida por Bruce Beresford, escrita por David Weisberg y Douglas Cook y protagonizada por Ashley Judd (Asesinos natos, El inolvidable Simon Birch) interpretando el papel de Libby , Bruce Greenwood (Super 8, Truman Capote) interpretando a Nick y Tommy Lee Jones (Lincoln, Men In Black) con el papel de Travis Lehman."
The Fast and the Furious (A todo gas),https://es.web.img3.acsta.net/c_310_420/pictures/14/02/25/10/54/307930.jpg,"La vida de Dominic Toretto (Vin Diesel) está marcada día y noche por la velocidad. Durante el día prepara y tunea coches de carreras de alta gama, mejora sus prestaciones y los embellece. Al caer la noche se organizan competiciones ilegales donde muchos candidatos se enfrentan sin contemplaciones bajo la intensa mirada de sus groupies. Dominic Toretto compite en ellas con su propio bólido a 280 kilómetros por hora, consiguiendo numerosas sumas de dinero gracias a sus victorias. Sin embargo, existe una banda de delincuentes muy misteriosa que roba camiones en marcha desde vehículos deportivos. Este hecho hace que la policía infiltre a uno de sus hombres dentro de las carreras ilegales para investigar a posibles sospechosos. Brian (Paul Walker) es el encargado de infiltrarse en la banda de Toretto, la que figura junto a la de su rival Johnny Tran como principales sospechosos. Rápidamente se ganará la confianza de Toretto, pero todo se complicará cuando aparezca su hermana y se enamora de ella."
Boyka: Invicto 4,https://es.web.img3.acsta.net/c_310_420/pictures/16/05/23/14/06/421137.jpg,"Boyka es un luchador de boxeo que se encuentra en mitad de una importante liga. Durante la competición se produce una muerte lo que hace que empiece a replantearse verdaderamente lo que merece la pena este deporte.  Cuando descubre que la mujer del fallecido se encuentra en serios problemas, decide luchar una serie de batallas para poder liberarla de la servidumbre. El largometraje ha sido dirigido por Todor Chapkanov, el cual ha estado al frente de otros filmes como Camino a la libertad (2010), Return to House on Haunted Hill (2007) o Messengers 2 (2009)."
Sicario,https://es.web.img2.acsta.net/c_310_420/pictures/15/11/13/12/43/446246.jpg,"En la zona fronteriza sin ley que se extiende entre Estados Unidos y México el narcotráfico campa a sus anchas. Los comandos norteamericanos especializados luchan contra el contrabando de drogas y sus crímenes. Kate (Emily Blunt), una idealista agente del FBI es reclutada por un oficial de una fuerza especial de élite gubernamental para ayudar en la creciente guerra contra el narcotráfico. Su misión es erradicar un cartel de la droga responsable de los asesinatos de varios miembros de su equipo. La agente del FBI se enfrentará a un modus operandi que nada tiene que ver con sus hábitos profesionales. Sus nuevos compañeros, Ted (Jon Bernthal), Matt (Josh Brolin) y Alejandro (Benicio del Toro), un enigmático asesor de cuestionable pasado, le irán mostrando cómo hacen para abordar la problemática a la que se enfrentan. El equipo se embarcará en un viaje clandestino en el que cruzarán la frontera con México para lograr atrapar a un importante capo de la droga. Una vez en México, las cosas se complicarán, al darse cuenta de que todo es más peligroso de lo que creían y cuando la mujer se vea obligada a cuestionarse todo en lo que creía con el fin de sobrevivir. Sicario es el último largometraje de Denis Villeneuver (Enemy, Prisioneros, Polytechnique) y está protagonizado por Emily Blunt (Al filo del mañana, Eternamente comprometidos, Looper). El filme también cuenta en su reparto con los actores Benicio del Toro (Un día perfecto, Escobar: Paraíso perdido, El hombre lobo), Josh Brolin (Everest, Vengadores: La era de Ultrón, No es país para viejos), Jon Bernthal (Yo, él y Raquel, El lobo de Wall Street, The Walking Dead) y Victor Garber (Argo, The Town. Ciudad de ladrones, Mi nombre es Harvey Milk)."
